d_name,model_name,bias_mean,variance_mean,test_mse_mean,test_score_mean,n_subsamples_mean,subsample_ratio_mean,fit_time_mean,n_splits_mean,random_state_mean,test_size_mean,bias_std,variance_std,test_mse_std,test_score_std,n_subsamples_std,subsample_ratio_std,fit_time_std,n_splits_std,random_state_std,test_size_std
compass,EGB_XGB_GAM_BEST_FIT_BEST_FIT,0.20374354158660965,0.00047428150881214,0.2042178230954219,0.7443217233837399,5,0.5,29.82726125717163,5,42,926,0.0026370952228127378,4.555199143305638e-05,0.002617558778042253,0.007672911917302265,0.0,0.0,2.3594340736680812,0.0,0.0,0.0
compass,EGB_XGB_GAM_CYCLIC_CYCLIC,0.20444544774162007,0.00044986628084478,0.20489531402246497,0.7423498976976083,5,0.5,72.11399598121643,5,42,926,0.0024779312858737128,5.505516573454059e-05,0.0024973656730668415,0.007407100602720708,0.0,0.0,4.136814934845086,0.0,0.0,0.0
compass,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,0.20442738827835752,0.00045210658677547995,0.20487949486513296,0.7423390795136521,5,0.5,74.56534776687622,5,42,926,0.002499495250092574,5.1062523814165213e-05,0.0025178213258144314,0.007420279778457454,0.0,0.0,6.190297134319656,0.0,0.0,0.0
compass,Spline,0.2037082558220995,0.00038717892980265226,0.20409543475190217,0.7439033889137132,5,0.5,0.5213383674621582,5,42,926,0.002618283038272229,2.9000563047276765e-05,0.002608461737615125,0.00738044705749159,0.0,0.0,0.04901399579672264,0.0,0.0,0.0
compass,XGB,0.20699027691668861,0.004715034272521734,0.21170531074170892,0.7261785941064415,5,0.5,0.19662942886352539,5,42,926,0.0021475639186219857,0.0005565908610521053,0.0021183870876986754,0.006247466871967075,0.0,0.0,0.01264749075903334,0.0,0.0,0.0
concrete,EBM_GA2M,19.309373522601522,4.390780102590074,23.700153625191593,-4.851980874127683,5,0.5,129.5837354183197,5,42,155,3.048661743162899,0.5770100761656135,3.3400708016589182,0.3405473357623126,0.0,0.0,18.108040575577636,0.0,0.0,0.0
concrete,EBM_GAM,26.745601595956618,3.7036768306735985,30.44927842663022,-5.507621943778929,5,0.5,5.945215845108033,5,42,155,3.2321257884473957,0.5732167572847959,3.3535525759797133,0.30142139857155875,0.0,0.0,0.4032423142745301,0.0,0.0,0.0
concrete,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,18.276716344851916,3.951965605564955,22.22868195041687,-4.702996829535499,5,0.5,374.6207145690918,5,42,155,2.230834482252995,0.8304418446017198,2.911071183122148,0.3021295589930972,0.0,0.0,19.805235792049455,0.0,0.0,0.0
concrete,EGB_XGB_GA2M_CYCLIC_BEST_FIT,19.29074210651445,4.498645345601828,23.78938745211628,-4.861438451114282,5,0.5,458.3271065235138,5,42,155,2.938044898506651,0.7457936954688305,3.371157735621341,0.3441181410586821,0.0,0.0,33.52188766488595,0.0,0.0,0.0
concrete,EGB_XGB_GA2M_CYCLIC_CYCLIC,19.687093311802307,4.427405385412551,24.114498697214863,-4.894399004013751,5,0.5,530.7374187469483,5,42,155,2.9949110780513473,0.7572454780461724,3.408798291179132,0.3457068138730704,0.0,0.0,57.21389839832589,0.0,0.0,0.0
concrete,EGB_XGB_GA2M_CYCLIC_RANDOM_BEST_FIT,19.329050749476274,4.5662143579598595,23.89526510743613,-4.871638658765121,5,0.5,471.1427294254303,5,42,155,2.906459959907938,0.8148162070358882,3.3888834884146464,0.34538552551761115,0.0,0.0,33.78713301818254,0.0,0.0,0.0
concrete,EGB_XGB_GA2M_CYCLIC_RANDOM_CYCLIC_RANDOM,19.694405835601234,4.44461571640165,24.139021552002887,-4.896940788759844,5,0.5,531.9898670673371,5,42,155,2.969884442734924,0.800079990422665,3.4219293548917897,0.34622109256283873,0.0,0.0,66.40144133857441,0.0,0.0,0.0
concrete,EGB_XGB_GAM_BEST_FIT_BEST_FIT,25.003351965555545,3.134630270406403,28.13798223596195,-5.295151769217992,5,0.5,113.63013877868653,5,42,155,2.5506686849735076,0.6530603611123917,3.048550739372463,0.28178812818992444,0.0,0.0,11.963500234919156,0.0,0.0,0.0
concrete,EGB_XGB_GAM_CYCLIC_CYCLIC,26.063651091556927,3.745892660531829,29.809543752088757,-5.448053820799893,5,0.5,147.22402119636536,5,42,155,3.17164635828502,0.5969454627339349,3.4020033257436433,0.30792647054804034,0.0,0.0,10.849102674707796,0.0,0.0,0.0
concrete,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,26.027951139326,3.7389833649566393,29.76693450428265,-5.443975403001039,5,0.5,151.33101663589477,5,42,155,3.177819604434703,0.5722797285312049,3.3957220874160323,0.3075117065177473,0.0,0.0,12.86811816992043,0.0,0.0,0.0
concrete,Spline,26.64880309914874,3.3596938556938225,30.00849695484256,-5.47162603498689,5,0.5,0.5642552375793457,5,42,155,2.0127664038493434,0.6398599096593628,1.9480202441374606,0.17849881759280115,0.0,0.0,0.01223576371137639,0.0,0.0,0.0
concrete,XGB,22.74385678489251,9.107599639892578,31.851455869985227,-5.615984777111688,5,0.5,0.7734735012054443,5,42,155,5.396737196550629,0.516644499095905,5.554236138231596,0.46843382891908014,0.0,0.0,0.14419778336712144,0.0,0.0,0.0
fico,EBM_GA2M,10.588922741839369,0.3887312144799772,10.977653956319347,-3.3124643738081723,5,0.5,35.94164681434631,5,42,1480,0.5112579963286538,0.026519721745023088,0.509088556986053,0.07683500649667752,0.0,0.0,0.8782483986519797,0.0,0.0,0.0
fico,EBM_GAM,12.51539985885471,0.3142927014394527,12.82969256029416,-3.5808512277486093,5,0.5,18.368282127380372,5,42,1480,0.6639538364108855,0.027094354297888614,0.6593587900149979,0.09201252452436984,0.0,0.0,0.8558869996599674,0.0,0.0,0.0
fico,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,10.502528890198395,0.3420859990831554,10.844614889281548,-3.292147585263245,5,0.5,503.17082142829895,5,42,1480,0.5699832539871856,0.022574820420212895,0.5571415151310581,0.08491174918818,0.0,0.0,22.81802870732592,0.0,0.0,0.0
