d_name,model_name,fit_time_mean,fit_trees_main_mean,fit_trees_inter_mean,test_score_mean,n_splits_mean,random_state_mean,test_size_mean,fit_time_std,fit_trees_main_std,fit_trees_inter_std,test_score_std,n_splits_std,random_state_std,test_size_std
support2,EGB_XGB_GAM_CYCLIC_CYCLIC,70.46946930885315,70964.6,0.0,0.8180255018869611,5,42,1366,5.998828985818131,5416.098577389449,0.0,0.01492805296718838,0.0,0.0,0.0
support2,Spline,74.56044263839722,0.0,0.0,0.8170803465755565,5,42,1366,32.653945486036385,0.0,0.0,0.013974240000868238,0.0,0.0,0.0
support2,XGB,0.17381210327148433,0.0,0.0,0.8213081440789619,5,42,1366,0.05723602577580692,0.0,0.0,0.01283124720207237,0.0,0.0,0.0
synthetic_corr,EBM_GA2M,10.234015083312988,27082.0,38394.0,-0.03955239320822577,5,42,150,0.3205267832232696,1281.3693846818724,1100.695234840235,0.005325126472291239,0.0,0.0,0.0
synthetic_corr,EBM_GAM,0.5017507076263428,27082.0,0.0,-0.09165998899962745,5,42,150,0.028401115458650553,1281.3693846818724,0.0,0.0062260474873476026,0.0,0.0,0.0
synthetic_corr,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,37.13726892471313,30833.8,38223.0,-0.03924466885620016,5,42,150,7.0123422116798455,2815.9228860180106,8550.97745874704,0.006602155928859391,0.0,0.0,0.0
synthetic_corr,EGB_XGB_GA2M_CYCLIC_BEST_FIT,39.598273038864136,33898.8,39270.0,-0.0356591273805714,5,42,150,6.994866473300604,1762.8789521688666,9151.541072409607,0.006017445792808792,0.0,0.0,0.0
synthetic_corr,EGB_XGB_GA2M_CYCLIC_CYCLIC,59.12668142318726,33898.8,73069.8,-0.03805359463136519,5,42,150,8.424245332167246,1762.8789521688666,10700.170872467414,0.004806094209183732,0.0,0.0,0.0
synthetic_corr,EGB_XGB_GAM_BEST_FIT_BEST_FIT,13.270314025878907,30833.8,0.0,-0.09267877904938185,5,42,150,2.2323619796680774,2815.9228860180106,0.0,0.006310465589500893,0.0,0.0,0.0
synthetic_corr,EGB_XGB_GAM_CYCLIC_CYCLIC,12.442918920516968,33898.8,0.0,-0.09007640090177235,5,42,150,1.0016785218411592,1762.8789521688666,0.0,0.0062963879179874175,0.0,0.0,0.0
synthetic_corr,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,12.505045080184937,34116.8,0.0,-0.09005748871784576,5,42,150,0.349956785338279,1187.2437407710352,0.0,0.006357603579611234,0.0,0.0,0.0
synthetic_corr,EGB_XGB_GAM_CYCLIC_RANDOM_REVERSE_CYCLIC_RANDOM_REVERSE,12.607895565032958,33853.0,0.0,-0.0900435834817626,5,42,150,0.49471235266410785,1088.0020680127413,0.0,0.006327743960388729,0.0,0.0,0.0
synthetic_corr,EGB_XGB_GAM_CYCLIC_REVERSE_CYCLIC_REVERSE,12.580797386169433,33989.2,0.0,-0.09006594131425216,5,42,150,1.0110262060823532,1348.094840877303,0.0,0.006280669338747235,0.0,0.0,0.0
synthetic_corr,Spline,1.9939328193664552,0.0,0.0,-0.10161338077414377,5,42,150,0.1208328362403675,0.0,0.0,0.00762555136863477,0.0,0.0,0.0
synthetic_corr,XGB,0.14856338500976557,0.0,0.0,-0.04596146334992226,5,42,150,0.03671819320377219,0.0,0.0,0.003599180868992117,0.0,0.0,0.0
synthetic_ordering10,EBM_GAM,1.2924111843109132,100000.0,0.0,-0.021048217675849044,5,42,150,0.4441077046348725,0.0,0.0,0.0010477229398813375,0.0,0.0,0.0
synthetic_ordering10,EGB_XGB_GAM_BEST_FIT_BEST_FIT,33.044156074523926,100000.0,0.0,-0.021062098583841705,5,42,150,0.41517353917717426,0.0,0.0,0.0010463977479427816,0.0,0.0,0.0
